group,tissue,comparison,stretch,N1,N2,test,p_value,power,effect_size,p_adj,significant
MN,IT,Long_vs_Circ,1.0000,4,4,T-test (Student),0.6273,0.0666,0.3145,0.6550,False
MN,IT,Long_vs_Circ,1.0526,4,4,Mann-Whitney U,0.1143,0.1590,0.7959,0.1645,False
MN,IT,Long_vs_Circ,1.1053,4,4,T-test (Student),0.1580,0.2202,0.9913,0.2095,False
MN,IT,Long_vs_Circ,1.1579,4,4,T-test (Student),0.0975,0.3015,1.2062,0.1513,False
MN,IT,Long_vs_Circ,1.2105,4,4,T-test (Student),0.0576,0.4030,1.4407,0.1279,False
MN,IT,Long_vs_Circ,1.2632,4,4,T-test (Student),0.0356,0.5037,1.6593,0.0956,False
MN,IT,Long_vs_Circ,1.3158,4,4,T-test (Student),0.0238,0.5905,1.8486,0.0872,False
MN,IT,Long_vs_Circ,1.3685,4,4,T-test (Welch),0.0435,0.5119,2.0393,0.1070,False
MN,IT,Long_vs_Circ,1.4211,4,4,T-test (Welch),0.0381,0.5520,2.1580,0.0976,False
MN,IT,Long_vs_Circ,1.4737,4,4,T-test (Welch),0.0314,0.6099,2.3322,0.0883,False
MN,IT,Long_vs_Circ,1.5264,4,4,T-test (Welch),0.0274,0.6505,2.4548,0.0872,False
MN,IT,Long_vs_Circ,1.5790,4,4,T-test (Welch),0.0266,0.6590,2.4808,0.0872,False
MN,IT,Long_vs_Circ,1.6316,4,4,T-test (Welch),0.0310,0.6136,2.3422,0.0883,False
MN,IT,Long_vs_Circ,1.6843,4,4,T-test (Welch),0.0297,0.6259,2.3771,0.0877,False
MN,IT,Long_vs_Circ,1.7369,4,4,T-test (Welch),0.0269,0.6552,2.4655,0.0872,False
MN,IT,Long_vs_Circ,1.7896,4,4,T-test (Welch),0.0266,0.6590,2.4762,0.0872,False
MN,IT,Long_vs_Circ,1.8422,3,4,T-test (Student),0.0015,0.9848,4.0267,0.0450,True
MN,IT,Long_vs_Circ,1.8948,3,4,T-test (Student),0.0013,0.9889,4.1523,0.0450,True
MN,IT,Long_vs_Circ,1.9475,3,4,T-test (Student),0.0011,0.9933,4.3440,0.0450,True
MN,IT,Long_vs_Circ,2.0001,3,4,T-test (Student),0.0013,0.9890,4.1551,0.0450,True
MN,Ext,Long_vs_Circ,1.0000,3,3,Mann-Whitney U,0.7000,0.0958,-0.6518,0.7183,False
MN,Ext,Long_vs_Circ,1.0563,3,3,Mann-Whitney U,0.7000,0.0953,0.6480,0.7183,False
MN,Ext,Long_vs_Circ,1.1125,3,3,Mann-Whitney U,1.0000,0.0942,0.6405,1.0000,False
MN,Ext,Long_vs_Circ,1.1688,3,3,Mann-Whitney U,1.0000,0.0919,0.6236,1.0000,False
MN,Ext,Long_vs_Circ,1.2250,3,3,Mann-Whitney U,1.0000,0.0907,0.6148,1.0000,False
MN,Ext,Long_vs_Circ,1.2813,3,3,T-test (Student),0.3896,0.0928,0.6298,0.4141,False
MN,Ext,Long_vs_Circ,1.3375,3,3,T-test (Student),0.3753,0.0957,0.6511,0.4026,False
MN,Ext,Long_vs_Circ,1.3938,3,3,T-test (Student),0.3562,0.1000,0.6806,0.3857,False
MN,Ext,Long_vs_Circ,1.4500,3,3,T-test (Student),0.3382,0.1045,0.7100,0.3695,False
MN,Ext,Long_vs_Circ,1.5063,3,3,T-test (Student),0.3208,0.1092,0.7396,0.3538,False
MN,Ext,Long_vs_Circ,1.5625,3,3,T-test (Student),0.2956,0.1168,0.7852,0.3291,False
MN,Ext,Long_vs_Circ,1.6188,3,3,T-test (Student),0.2764,0.1233,0.8226,0.3136,False
MN,Ext,Long_vs_Circ,1.6751,3,3,T-test (Student),0.2604,0.1294,0.8556,0.2983,False
MN,Ext,Long_vs_Circ,1.7313,3,3,T-test (Student),0.2522,0.1328,0.8733,0.2917,False
MN,Ext,Long_vs_Circ,1.7876,3,3,T-test (Student),0.2213,0.1472,0.9456,0.2637,False
MN,Ext,Long_vs_Circ,1.8438,3,3,T-test (Student),0.2252,0.1452,0.9360,0.2657,False
MN,Ext,Long_vs_Circ,1.9001,3,3,T-test (Student),0.2110,0.1527,0.9719,0.2540,False
MN,Ext,Long_vs_Circ,1.9563,3,3,T-test (Student),0.2004,0.1589,1.0003,0.2438,False
MN,Ext,Long_vs_Circ,2.0126,3,3,T-test (Student),0.1863,0.1679,1.0409,0.2389,False
MN,Ext,Long_vs_Circ,2.0688,3,3,T-test (Student),0.1642,0.1844,1.1109,0.2132,False
MN,Int,Long_vs_Circ,1.0000,2,3,None [Low N],,,,,False
MN,Int,Long_vs_Circ,1.0413,3,3,T-test (Student),0.2792,0.1223,0.8170,0.3137,False
MN,Int,Long_vs_Circ,1.0826,3,3,T-test (Student),0.1644,0.1842,1.1102,0.2132,False
MN,Int,Long_vs_Circ,1.1238,3,3,T-test (Student),0.1533,0.1939,1.1493,0.2056,False
MN,Int,Long_vs_Circ,1.1651,3,3,Mann-Whitney U,0.2000,0.1823,1.1023,0.2438,False
MN,Int,Long_vs_Circ,1.2064,3,3,Mann-Whitney U,0.2000,0.1721,1.0592,0.2438,False
MN,Int,Long_vs_Circ,1.2477,3,3,Mann-Whitney U,0.2000,0.1908,1.1370,0.2438,False
MN,Int,Long_vs_Circ,1.2889,3,3,Mann-Whitney U,0.2000,0.1984,1.1674,0.2438,False
MN,Int,Long_vs_Circ,1.3302,3,3,T-test (Student),0.1315,0.2162,1.2355,0.1848,False
MN,Int,Long_vs_Circ,1.3715,3,3,T-test (Student),0.1042,0.2534,1.3685,0.1557,False
MN,Int,Long_vs_Circ,1.4128,3,3,T-test (Student),0.0697,0.3274,1.6069,0.1390,False
MN,Int,Long_vs_Circ,1.4540,3,3,T-test (Student),0.0532,0.3836,1.7744,0.1210,False
MN,Int,Long_vs_Circ,1.4953,3,3,T-test (Student),0.0261,0.5516,2.2518,0.0872,False
MN,Int,Long_vs_Circ,1.5366,3,3,T-test (Student),0.0127,0.7297,2.8039,0.0822,False
MN,Int,Long_vs_Circ,1.5779,3,3,T-test (Student),0.0077,0.8386,3.2430,0.0738,False
MN,Int,Long_vs_Circ,1.6191,3,3,T-test (Student),0.0065,0.8676,3.3919,0.0738,False
MN,Int,Long_vs_Circ,1.6604,3,3,T-test (Student),0.0077,0.8375,3.2379,0.0738,False
MN,Int,Long_vs_Circ,1.7017,3,3,Mann-Whitney U,0.1000,0.7598,2.9124,0.1513,False
MN,Int,Long_vs_Circ,1.7430,3,3,T-test (Student),0.0137,0.7126,2.7449,0.0822,False
MN,Int,Long_vs_Circ,1.7842,3,3,T-test (Student),0.0160,0.6739,2.6180,0.0822,False
CN,IT,Long_vs_Circ,1.0000,4,4,T-test (Student),0.5743,0.0724,-0.3651,0.6051,False
CN,IT,Long_vs_Circ,1.0979,4,4,Mann-Whitney U,0.1143,0.1959,1.0116,0.1645,False
CN,IT,Long_vs_Circ,1.1959,4,4,T-test (Student),0.1440,0.2349,1.0330,0.1975,False
CN,IT,Long_vs_Circ,1.2938,4,4,T-test (Welch),0.1496,0.2217,1.1459,0.2029,False
CN,IT,Long_vs_Circ,1.3918,4,4,T-test (Welch),0.1344,0.2406,1.2023,0.1866,False
CN,IT,Long_vs_Circ,1.4897,4,4,T-test (Welch),0.1065,0.2851,1.3192,0.1572,False
CN,IT,Long_vs_Circ,1.5876,4,4,T-test (Welch),0.0861,0.3288,1.4165,0.1493,False
CN,IT,Long_vs_Circ,1.6856,4,4,T-test (Student),0.0533,0.4188,1.4755,0.1210,False
CN,IT,Long_vs_Circ,1.7835,4,4,T-test (Student),0.0479,0.4410,1.5240,0.1130,False
CN,IT,Long_vs_Circ,1.8814,4,4,T-test (Student),0.0451,0.4535,1.5510,0.1087,False
CN,IT,Long_vs_Circ,1.9794,4,4,T-test (Student),0.0372,0.4945,1.6395,0.0976,False
CN,IT,Long_vs_Circ,2.0773,4,4,T-test (Student),0.0244,0.5851,1.8367,0.0872,False
CN,IT,Long_vs_Circ,2.1753,4,4,T-test (Student),0.0195,0.6331,1.9447,0.0872,False
CN,IT,Long_vs_Circ,2.2732,4,4,T-test (Student),0.0142,0.6981,2.0998,0.0822,False
CN,IT,Long_vs_Circ,2.3711,4,4,T-test (Student),0.0101,0.7648,2.2763,0.0792,False
CN,IT,Long_vs_Circ,2.4691,4,4,T-test (Student),0.0087,0.7914,2.3543,0.0738,False
CN,IT,Long_vs_Circ,2.5670,4,3,T-test (Student),0.0268,0.5577,1.9958,0.0872,False
CN,IT,Long_vs_Circ,2.6650,3,3,T-test (Student),0.0217,0.5987,2.3883,0.0872,False
CN,IT,Long_vs_Circ,2.7629,3,3,T-test (Student),0.0281,0.5336,2.2006,0.0872,False
CN,IT,Long_vs_Circ,2.8608,3,3,T-test (Student),0.0354,0.4766,2.0395,0.0956,False
CN,Ext,Long_vs_Circ,1.0000,2,3,None [Low N],,,,,False
CN,Ext,Long_vs_Circ,1.0481,3,3,T-test (Student),0.2328,0.1415,0.9176,0.2720,False
CN,Ext,Long_vs_Circ,1.0962,3,3,T-test (Student),0.1275,0.2209,1.2530,0.1813,False
CN,Ext,Long_vs_Circ,1.1443,3,3,Mann-Whitney U,0.1000,0.2495,1.3551,0.1513,False
CN,Ext,Long_vs_Circ,1.1924,3,3,Mann-Whitney U,0.1000,0.2623,1.3987,0.1513,False
CN,Ext,Long_vs_Circ,1.2405,3,3,Mann-Whitney U,0.1000,0.2629,1.4006,0.1513,False
CN,Ext,Long_vs_Circ,1.2885,3,3,T-test (Student),0.0931,0.2730,1.4342,0.1513,False
CN,Ext,Long_vs_Circ,1.3366,3,3,Mann-Whitney U,0.1000,0.2835,1.4688,0.1513,False
CN,Ext,Long_vs_Circ,1.3847,3,3,T-test (Student),0.0800,0.3008,1.5241,0.1408,False
CN,Ext,Long_vs_Circ,1.4328,3,3,Mann-Whitney U,0.1000,0.3140,1.5654,0.1513,False
CN,Ext,Long_vs_Circ,1.4809,3,3,T-test (Student),0.0730,0.3184,1.5792,0.1390,False
CN,Ext,Long_vs_Circ,1.5290,3,3,T-test (Student),0.0700,0.3266,1.6043,0.1390,False
CN,Ext,Long_vs_Circ,1.5771,3,3,T-test (Student),0.0725,0.3195,1.5826,0.1390,False
CN,Ext,Long_vs_Circ,1.6252,3,3,T-test (Student),0.0708,0.3242,1.5970,0.1390,False
CN,Ext,Long_vs_Circ,1.6733,3,3,T-test (Student),0.0729,0.3184,1.5793,0.1390,False
CN,Ext,Long_vs_Circ,1.7214,3,3,T-test (Student),0.0737,0.3164,1.5729,0.1390,False
CN,Ext,Long_vs_Circ,1.7694,3,3,T-test (Student),0.0742,0.3150,1.5687,0.1390,False
CN,Ext,Long_vs_Circ,1.8175,3,3,T-test (Student),0.0770,0.3079,1.5465,0.1408,False
CN,Ext,Long_vs_Circ,1.8656,3,3,T-test (Student),0.0790,0.3032,1.5316,0.1408,False
CN,Ext,Long_vs_Circ,1.9137,3,3,T-test (Student),0.0778,0.3060,1.5407,0.1408,False
CN,Int,Long_vs_Circ,1.0000,3,3,T-test (Student),0.0976,0.2646,-1.4064,0.1513,False
CN,Int,Long_vs_Circ,1.0300,3,3,T-test (Student),0.0874,0.2844,1.4717,0.1494,False
CN,Int,Long_vs_Circ,1.0600,3,3,T-test (Student),0.0668,0.3358,1.6326,0.1390,False
CN,Int,Long_vs_Circ,1.0900,3,3,T-test (Student),0.0585,0.3631,1.7141,0.1279,False
CN,Int,Long_vs_Circ,1.1200,3,3,T-test (Student),0.0405,0.4448,1.9497,0.1018,False
CN,Int,Long_vs_Circ,1.1501,3,3,T-test (Student),0.0294,0.5218,2.1671,0.0877,False
CN,Int,Long_vs_Circ,1.1801,3,3,T-test (Student),0.0245,0.5674,2.2971,0.0872,False
CN,Int,Long_vs_Circ,1.2101,3,3,T-test (Student),0.0217,0.5977,2.3856,0.0872,False
CN,Int,Long_vs_Circ,1.2401,3,3,T-test (Student),0.0159,0.6758,2.6241,0.0822,False
CN,Int,Long_vs_Circ,1.2701,3,3,T-test (Student),0.0065,0.8684,3.3967,0.0738,False
CN,Int,Long_vs_Circ,1.3001,3,3,T-test (Student),0.0033,0.9550,4.0839,0.0738,False
CN,Int,Long_vs_Circ,1.3301,3,3,T-test (Student),0.0041,0.9350,3.8665,0.0738,False
CN,Int,Long_vs_Circ,1.3601,3,3,T-test (Student),0.0057,0.8915,3.5337,0.0738,False
CN,Int,Long_vs_Circ,1.3902,3,3,T-test (Student),0.0071,0.8536,3.3179,0.0738,False
CN,Int,Long_vs_Circ,1.4202,3,3,T-test (Student),0.0088,0.8126,3.1246,0.0738,False
CN,Int,Long_vs_Circ,1.4502,3,3,T-test (Student),0.0112,0.7597,2.9123,0.0822,False
CN,Int,Long_vs_Circ,1.4802,3,3,T-test (Student),0.0137,0.7123,2.7440,0.0822,False
CN,Int,Long_vs_Circ,1.5102,3,3,T-test (Student),0.0154,0.6836,2.6491,0.0822,False
CN,Int,Long_vs_Circ,1.5402,3,3,T-test (Student),0.0185,0.6388,2.5086,0.0872,False
CN,Int,Long_vs_Circ,1.5702,3,3,T-test (Student),0.0204,0.6138,2.4331,0.0872,False
