comparison,tissue,dir,stretch,N1,N2,test,p_value,power,effect_size,p_adj,significant
CN_vs_MN,IT,Circ,1,4,4,T-test (Student),0.7999,0.0544,-0.1629,1,False
CN_vs_MN,IT,Circ,1.0903,4,4,Mann-Whitney U,0.4857,0.0625,0.2733,0.938,False
CN_vs_MN,IT,Circ,1.1805,4,4,Mann-Whitney U,0.8857,0.0658,0.3075,1,False
CN_vs_MN,IT,Circ,1.2708,4,4,T-test (Student),0.5143,0.0806,0.4261,0.938,False
CN_vs_MN,IT,Circ,1.361,4,4,T-test (Student),0.4113,0.1,0.5428,0.932,False
CN_vs_MN,IT,Circ,1.4513,4,4,T-test (Welch),0.412,0.0933,0.5753,0.932,False
CN_vs_MN,IT,Circ,1.5416,4,4,T-test (Welch),0.3623,0.1045,0.6504,0.932,False
CN_vs_MN,IT,Circ,1.6318,4,4,T-test (Welch),0.3709,0.1024,0.6363,0.932,False
CN_vs_MN,IT,Circ,1.7221,4,4,T-test (Welch),0.3829,0.0997,0.6169,0.932,False
CN_vs_MN,IT,Circ,1.8124,4,4,T-test (Welch),0.3999,0.0961,0.5909,0.932,False
CN_vs_MN,IT,Circ,1.9026,4,4,T-test (Welch),0.4122,0.0937,0.5722,0.932,False
CN_vs_MN,IT,Circ,1.9929,4,4,T-test (Welch),0.417,0.0929,0.5647,0.932,False
CN_vs_MN,IT,Circ,2.0831,4,4,T-test (Welch),0.4186,0.0927,0.5615,0.932,False
CN_vs_MN,IT,Circ,2.1734,4,4,T-test (Welch),0.4291,0.0909,0.546,0.9377,False
CN_vs_MN,IT,Circ,2.2637,4,4,T-test (Welch),0.4174,0.0932,0.5619,0.932,False
CN_vs_MN,IT,Circ,2.3539,4,4,T-test (Welch),0.4173,0.0931,0.5628,0.932,False
CN_vs_MN,IT,Circ,2.4442,4,3,T-test (Student),0.4686,0.0844,0.5041,0.938,False
CN_vs_MN,IT,Circ,2.5344,3,3,T-test (Student),0.5841,0.0662,0.3884,0.9573,False
CN_vs_MN,IT,Circ,2.6247,3,3,T-test (Student),0.5627,0.0682,0.4117,0.9573,False
CN_vs_MN,IT,Circ,2.715,3,3,T-test (Student),0.5694,0.0675,0.4043,0.9573,False
CN_vs_MN,IT,Long,1,4,4,T-test (Student),0.4842,0.0854,-0.4583,0.938,False
CN_vs_MN,IT,Long,1.0526,4,4,Mann-Whitney U,0.8857,0.0825,0.439,1,False
CN_vs_MN,IT,Long,1.1053,4,4,T-test (Student),0.611,0.0682,0.3298,0.9848,False
CN_vs_MN,IT,Long,1.1579,4,4,T-test (Student),0.5225,0.0793,0.4174,0.938,False
CN_vs_MN,IT,Long,1.2105,4,4,T-test (Student),0.5654,0.0735,0.3739,0.9573,False
CN_vs_MN,IT,Long,1.2632,4,4,T-test (Student),0.6343,0.0659,0.308,0.9848,False
CN_vs_MN,IT,Long,1.3158,4,4,T-test (Student),0.754,0.0568,0.2017,1,False
CN_vs_MN,IT,Long,1.3685,4,4,T-test (Student),0.8876,0.0514,0.0907,1,False
CN_vs_MN,IT,Long,1.4211,4,4,T-test (Student),0.9472,0.0503,-0.0424,1,False
CN_vs_MN,IT,Long,1.4737,4,4,T-test (Student),0.8151,0.0538,-0.1503,1,False
CN_vs_MN,IT,Long,1.5264,4,4,T-test (Student),0.7267,0.0585,-0.2252,1,False
CN_vs_MN,IT,Long,1.579,4,4,T-test (Student),0.6241,0.0669,-0.3175,0.9848,False
CN_vs_MN,IT,Long,1.6316,4,4,T-test (Student),0.5246,0.079,-0.4152,0.938,False
CN_vs_MN,IT,Long,1.6843,4,4,T-test (Student),0.5189,0.0799,-0.4212,0.938,False
CN_vs_MN,IT,Long,1.7369,4,4,T-test (Student),0.4752,0.087,-0.4682,0.938,False
CN_vs_MN,IT,Long,1.7896,4,4,T-test (Student),0.4596,0.0899,-0.4858,0.938,False
CN_vs_MN,IT,Long,1.8422,4,3,T-test (Student),0.2188,0.1627,-0.9042,0.932,False
CN_vs_MN,IT,Long,1.8948,4,3,T-test (Student),0.2408,0.1508,-0.8558,0.932,False
