group,dir,comparison,stretch,N1,N2,test,p_value,power,effect_size,p_adj,significant
MN,Circ,IT_vs_Ext,1,4,3,T-test (Student),0.616,0.0659,0.3437,0.6997,False
MN,Circ,IT_vs_Ext,1.0664,4,3,Mann-Whitney U,1,0.0544,0.1805,1,False
MN,Circ,IT_vs_Ext,1.1327,4,3,T-test (Student),0.7381,0.0569,-0.2274,0.8064,False
MN,Circ,IT_vs_Ext,1.1991,4,3,T-test (Student),0.3217,0.1184,-0.7071,0.4492,False
MN,Circ,IT_vs_Ext,1.2655,4,3,T-test (Student),0.2156,0.1645,-0.9115,0.3452,False
MN,Circ,IT_vs_Ext,1.3318,4,3,T-test (Student),0.1758,0.1921,-1.0138,0.3073,False
MN,Circ,IT_vs_Ext,1.3982,4,3,T-test (Student),0.1556,0.2098,-1.0748,0.276,False
MN,Circ,IT_vs_Ext,1.4646,4,3,T-test (Student),0.1516,0.2137,-1.0878,0.276,False
MN,Circ,IT_vs_Ext,1.5309,4,3,T-test (Student),0.1394,0.2266,-1.1296,0.2598,False
MN,Circ,IT_vs_Ext,1.5973,4,3,T-test (Student),0.1374,0.2288,-1.1367,0.2594,False
MN,Circ,IT_vs_Ext,1.6636,4,3,T-test (Student),0.1398,0.2261,-1.1281,0.2598,False
MN,Circ,IT_vs_Ext,1.73,4,3,T-test (Student),0.1348,0.2319,-1.1463,0.2566,False
MN,Circ,IT_vs_Ext,1.7964,4,3,T-test (Student),0.1292,0.2386,-1.1674,0.248,False
MN,Circ,IT_vs_Ext,1.8627,4,3,T-test (Student),0.1274,0.2409,-1.1744,0.2465,False
MN,Circ,IT_vs_Ext,1.9291,4,3,T-test (Student),0.1263,0.2423,-1.1787,0.2465,False
MN,Circ,IT_vs_Ext,1.9955,4,3,T-test (Student),0.1209,0.2495,-1.2009,0.2432,False
MN,Circ,IT_vs_Ext,2.0618,4,3,T-test (Student),0.1137,0.2598,-1.2316,0.2432,False
MN,Circ,IT_vs_Ext,2.1282,4,3,T-test (Student),0.1095,0.2662,-1.2506,0.2432,False
MN,Circ,IT_vs_Ext,2.1946,4,3,T-test (Student),0.1005,0.2811,-1.2934,0.2432,False
MN,Circ,IT_vs_Ext,2.2609,4,3,T-test (Student),0.0972,0.2869,-1.3101,0.2432,False
MN,Circ,IT_vs_Int,1,4,3,T-test (Student),0.2882,0.13,-0.7641,0.4122,False
MN,Circ,IT_vs_Int,1.0436,4,3,Mann-Whitney U,0.1143,0.155,-0.8734,0.2432,False
MN,Circ,IT_vs_Int,1.0872,4,3,Mann-Whitney U,0.1143,0.1746,-0.9501,0.2432,False
MN,Circ,IT_vs_Int,1.1308,4,3,T-test (Student),0.1676,0.1989,-1.0376,0.2952,False
MN,Circ,IT_vs_Int,1.1745,4,3,Mann-Whitney U,0.0571,0.2236,-1.1201,0.216,False
MN,Circ,IT_vs_Int,1.2181,4,3,Mann-Whitney U,0.0571,0.2353,-1.1572,0.216,False
MN,Circ,IT_vs_Int,1.2617,4,3,Mann-Whitney U,0.0571,0.2458,-1.1894,0.216,False
MN,Circ,IT_vs_Int,1.3053,4,3,Mann-Whitney U,0.0571,0.2552,-1.218,0.216,False
MN,Circ,IT_vs_Int,1.3489,4,3,T-test (Student),0.123,0.2466,-1.1919,0.244,False
MN,Circ,IT_vs_Int,1.3925,4,3,T-test (Student),0.1149,0.258,-1.2263,0.2432,False
MN,Circ,IT_vs_Int,1.4361,4,3,T-test (Student),0.1028,0.2771,-1.2822,0.2432,False
MN,Circ,IT_vs_Int,1.4798,4,3,T-test (Student),0.1053,0.273,-1.2702,0.2432,False
MN,Circ,IT_vs_Int,1.5234,4,3,T-test (Student),0.1022,0.2781,-1.2851,0.2432,False
MN,Circ,IT_vs_Int,1.567,4,3,T-test (Student),0.1034,0.2761,-1.2793,0.2432,False
MN,Circ,IT_vs_Int,1.6106,4,3,T-test (Student),0.105,0.2734,-1.2715,0.2432,False
MN,Circ,IT_vs_Int,1.6542,4,3,T-test (Student),0.1041,0.2749,-1.2759,0.2432,False
MN,Circ,IT_vs_Int,1.6978,4,3,T-test (Student),0.1048,0.2737,-1.2724,0.2432,False
MN,Circ,IT_vs_Int,1.7414,4,3,T-test (Student),0.101,0.2802,-1.2909,0.2432,False
MN,Circ,IT_vs_Int,1.7851,4,3,T-test (Student),0.0959,0.2895,-1.3174,0.2432,False
MN,Circ,IT_vs_Int,1.8287,4,3,T-test (Student),0.0903,0.3004,-1.3477,0.2432,False
MN,Circ,Ext_vs_Int,1,3,3,T-test (Student),0.3694,0.097,-0.6601,0.5068,False
MN,Circ,Ext_vs_Int,1.0436,3,3,T-test (Student),0.2966,0.1165,-0.7834,0.4217,False
MN,Circ,Ext_vs_Int,1.0872,3,3,T-test (Student),0.2731,0.1245,-0.8292,0.399,False
MN,Circ,Ext_vs_Int,1.1308,3,3,T-test (Student),0.259,0.13,-0.8585,0.3845,False
MN,Circ,Ext_vs_Int,1.1745,3,3,Mann-Whitney U,0.1,0.136,-0.8899,0.2432,False
MN,Circ,Ext_vs_Int,1.2181,3,3,Mann-Whitney U,0.1,0.138,-0.9002,0.2432,False
MN,Circ,Ext_vs_Int,1.2617,3,3,Mann-Whitney U,0.1,0.1393,-0.9069,0.2432,False
MN,Circ,Ext_vs_Int,1.3053,3,3,Mann-Whitney U,0.1,0.1428,-0.924,0.2432,False
MN,Circ,Ext_vs_Int,1.3489,3,3,T-test (Student),0.2436,0.1365,-0.8926,0.3661,False
MN,Circ,Ext_vs_Int,1.3925,3,3,T-test (Student),0.2342,0.1408,-0.9142,0.3543,False
MN,Circ,Ext_vs_Int,1.4361,3,3,T-test (Student),0.224,0.1458,-0.9389,0.3452,False
MN,Circ,Ext_vs_Int,1.4798,3,3,T-test (Student),0.2284,0.1436,-0.928,0.3478,False
MN,Circ,Ext_vs_Int,1.5234,3,3,T-test (Student),0.2243,0.1456,-0.9381,0.3452,False
MN,Circ,Ext_vs_Int,1.567,3,3,T-test (Student),0.2206,0.1475,-0.9473,0.3452,False
MN,Circ,Ext_vs_Int,1.6106,3,3,T-test (Student),0.2206,0.1475,-0.9472,0.3452,False
MN,Circ,Ext_vs_Int,1.6542,3,3,T-test (Student),0.2222,0.1467,-0.9434,0.3452,False
MN,Circ,Ext_vs_Int,1.6978,3,3,T-test (Student),0.2239,0.1459,-0.9392,0.3452,False
MN,Circ,Ext_vs_Int,1.7414,3,3,T-test (Student),0.2159,0.15,-0.9591,0.3452,False
MN,Circ,Ext_vs_Int,1.7851,3,3,T-test (Student),0.2069,0.155,-0.9827,0.3391,False
MN,Circ,Ext_vs_Int,1.8287,3,3,T-test (Student),0.2003,0.1589,-1.0006,0.3329,False
MN,Long,IT_vs_Ext,1,4,3,Mann-Whitney U,0.4,0.1349,0.7867,0.513,False
MN,Long,IT_vs_Ext,1.0526,4,3,Mann-Whitney U,0.6286,0.0826,-0.4909,0.6997,False
MN,Long,IT_vs_Ext,1.1053,4,3,Mann-Whitney U,0.6286,0.0805,-0.4745,0.6997,False
MN,Long,IT_vs_Ext,1.1579,4,3,Mann-Whitney U,0.6286,0.0773,-0.4495,0.6997,False
MN,Long,IT_vs_Ext,1.2105,4,3,Mann-Whitney U,0.6286,0.0739,-0.421,0.6997,False
MN,Long,IT_vs_Ext,1.2632,4,3,T-test (Student),0.5497,0.0729,-0.4123,0.6619,False
MN,Long,IT_vs_Ext,1.3158,4,3,T-test (Student),0.5545,0.0724,-0.4071,0.6643,False
MN,Long,IT_vs_Ext,1.3685,4,3,T-test (Student),0.5926,0.0682,-0.3674,0.6889,False
MN,Long,IT_vs_Ext,1.4211,4,3,T-test (Student),0.6203,0.0655,-0.3393,0.6997,False
MN,Long,IT_vs_Ext,1.4737,4,3,T-test (Student),0.5648,0.0712,-0.3962,0.6699,False
MN,Long,IT_vs_Ext,1.5264,4,3,T-test (Student),0.5099,0.0781,-0.4561,0.6203,False
MN,Long,IT_vs_Ext,1.579,4,3,T-test (Student),0.4737,0.0836,-0.498,0.5884,False
MN,Long,IT_vs_Ext,1.6316,4,3,T-test (Student),0.4462,0.0883,-0.5316,0.5582,False
MN,Long,IT_vs_Ext,1.6843,4,3,T-test (Student),0.4322,0.0909,-0.5491,0.5484,False
MN,Long,IT_vs_Ext,1.7369,4,3,T-test (Student),0.4403,0.0894,-0.5389,0.5557,False
MN,Long,IT_vs_Ext,1.7896,4,3,T-test (Student),0.4071,0.096,-0.5819,0.5193,False
MN,Long,IT_vs_Ext,1.8422,3,3,T-test (Student),0.5783,0.0667,-0.3947,0.679,False
MN,Long,IT_vs_Ext,1.8948,3,3,T-test (Student),0.527,0.0719,-0.4521,0.6377,False
MN,Long,IT_vs_Ext,1.9475,3,3,T-test (Student),0.4839,0.0772,-0.5034,0.5925,False
MN,Long,IT_vs_Ext,2.0001,3,3,T-test (Student),0.447,0.0826,-0.5502,0.5582,False
MN,Long,IT_vs_Int,1,4,2,None [Low N],,,,,False
MN,Long,IT_vs_Int,1.0413,4,3,Mann-Whitney U,0.1143,0.1928,-1.0164,0.2432,False
MN,Long,IT_vs_Int,1.0826,4,3,T-test (Student),0.0811,0.3204,-1.4024,0.2432,False
MN,Long,IT_vs_Int,1.1238,4,3,T-test (Student),0.053,0.4057,-1.6223,0.216,False
MN,Long,IT_vs_Int,1.1651,4,3,Mann-Whitney U,0.1143,0.4392,-1.7053,0.2432,False
MN,Long,IT_vs_Int,1.2064,4,3,T-test (Student),0.0457,0.4377,-1.7017,0.2072,False
MN,Long,IT_vs_Int,1.2477,4,3,T-test (Student),0.037,0.4839,-1.8148,0.1904,False
MN,Long,IT_vs_Int,1.2889,4,3,T-test (Student),0.0345,0.4997,-1.8534,0.1851,False
MN,Long,IT_vs_Int,1.3302,4,3,T-test (Student),0.0266,0.5589,-1.9987,0.1611,False
MN,Long,IT_vs_Int,1.3715,4,3,T-test (Student),0.018,0.6483,-2.227,0.1287,False
MN,Long,IT_vs_Int,1.4128,4,3,T-test (Student),0.0104,0.7651,-2.5655,0.088,False
MN,Long,IT_vs_Int,1.454,4,3,T-test (Student),0.007,0.8393,-2.8335,0.0796,False
MN,Long,IT_vs_Int,1.4953,4,3,T-test (Student),0.0013,0.9889,-4.1506,0.0448,True
MN,Long,IT_vs_Int,1.5366,4,3,T-test (Student),0.0002,1,-6.4042,0.0103,True
MN,Long,IT_vs_Int,1.5779,4,3,T-test (Student),0,1,-11.0004,0.0015,True
MN,Long,IT_vs_Int,1.6191,4,3,T-test (Student),0,1,-14.5976,0.0007,True
MN,Long,IT_vs_Int,1.6604,4,3,T-test (Student),0,1,-9.9169,0.0016,True
MN,Long,IT_vs_Int,1.7017,4,3,Mann-Whitney U,0.0571,1,-6.4864,0.216,False
MN,Long,IT_vs_Int,1.743,4,3,T-test (Student),0.0005,0.9996,-5.2345,0.0215,True
MN,Long,IT_vs_Int,1.7842,4,3,T-test (Student),0.0008,0.9974,-4.6812,0.0301,True
MN,Long,Ext_vs_Int,1,3,2,None [Low N],,,,,False
MN,Long,Ext_vs_Int,1.0413,3,3,Mann-Whitney U,0.4,0.0566,-0.2489,0.513,False
MN,Long,Ext_vs_Int,1.0826,3,3,Mann-Whitney U,0.4,0.0767,-0.4987,0.513,False
MN,Long,Ext_vs_Int,1.1238,3,3,Mann-Whitney U,0.2,0.1038,-0.706,0.3329,False
MN,Long,Ext_vs_Int,1.1651,3,3,Mann-Whitney U,0.2,0.1315,-0.8667,0.3329,False
MN,Long,Ext_vs_Int,1.2064,3,3,Mann-Whitney U,0.2,0.1432,-0.9263,0.3329,False
MN,Long,Ext_vs_Int,1.2477,3,3,Mann-Whitney U,0.2,0.1765,-1.0776,0.3329,False
MN,Long,Ext_vs_Int,1.2889,3,3,T-test (Student),0.1469,0.1999,-1.1733,0.2708,False
MN,Long,Ext_vs_Int,1.3302,3,3,T-test (Student),0.1185,0.2324,-1.2947,0.2432,False
MN,Long,Ext_vs_Int,1.3715,3,3,T-test (Student),0.0784,0.3044,-1.5355,0.2432,False
MN,Long,Ext_vs_Int,1.4128,3,3,T-test (Student),0.0532,0.3837,-1.7745,0.216,False
MN,Long,Ext_vs_Int,1.454,3,3,T-test (Student),0.0394,0.4515,-1.9684,0.1979,False
MN,Long,Ext_vs_Int,1.4953,3,3,T-test (Student),0.0191,0.6303,-2.4827,0.1325,False
MN,Long,Ext_vs_Int,1.5366,3,3,T-test (Student),0.0087,0.813,-3.1262,0.0814,False
MN,Long,Ext_vs_Int,1.5779,3,3,T-test (Student),0.0043,0.9283,-3.8061,0.0669,False
MN,Long,Ext_vs_Int,1.6191,3,3,T-test (Student),0.0029,0.9669,-4.2552,0.0587,False
MN,Long,Ext_vs_Int,1.6604,3,3,T-test (Student),0.003,0.9633,-4.1995,0.0587,False
MN,Long,Ext_vs_Int,1.7017,3,3,Mann-Whitney U,0.1,0.9059,-3.6302,0.2432,False
MN,Long,Ext_vs_Int,1.743,3,3,T-test (Student),0.0072,0.8512,-3.3054,0.0796,False
MN,Long,Ext_vs_Int,1.7842,3,3,T-test (Student),0.009,0.8076,-3.1029,0.0814,False
CN,Circ,IT_vs_Ext,1,4,3,T-test (Student),0.7774,0.0549,-0.1919,0.8455,False
CN,Circ,IT_vs_Ext,1.0985,4,3,Mann-Whitney U,0.6286,0.0724,0.4072,0.6997,False
